Country,Cases,Deaths,Population
USA,"81,527,329","1,001,175","334,342,370"
India,"43,014,687","516,703","1,403,346,937"
Brazil,"29,729,991","658,067","215,159,159"
France,"24,487,676","141,319","65,522,041"
UK,"20,613,817","164,282","68,499,604"
Russia,"19,648,804","128,413","84,244,917"
Turkey,"17,690,008","366,220","146,042,136"
Italy,"14,743,437","97,521","85,900,384"
Germany,"14,153,098","158,436","60,308,847"
Spain,"11,378,784","102,053","46,785,939"
Argentina,"10,822,836","13,902","51,345,107"
Iran,"9,019,660","127,752","45,909,309"
Colombia,"8,599,751","42,145","98,845,416"
Poland,"7,665,726","21,851","17,200,109"
Mexico,"7,145,877","139,865","85,842,357"
Netherlands,"6,189,816","27,356","125,810,254"
Indonesia,"6,082,226","139,508","51,815,941"
Ukraine,"5,986,830","154,343","278,499,633"
South Africa,"5,924,876","114,626","37,775,286"
Philippines,"5,640,305","322,277","131,263,268"
Peru,"4,945,428","107,724","43,281,686"
Belgium,"4,122,142","5,824","26,008,878"
Czechia,"4,054,926","34,600","33,079,368"
Canada,"3,814,635","10,455","9,326,000"
Israel,"3,769,667","39,467","10,743,167"
Japan,"3,757,776","30,635","11,676,411"
Malaysia,"3,707,089","99,899","60,595,060"
Portugal,"3,675,821","58,771","112,090,029"
Australia,"3,627,093","15,579","9,094,819"
Thailand,"3,542,602","211,944","33,761,937"
Romania,"3,458,727","21,408","10,145,552"
Switzerland,"3,450,980","24,582","70,101,352"
Vietnam,"3,426,147","56,147","19,398,525"
Chile,"3,420,292","37,286","38,311,500"
Sweden,"3,386,428","13,635","8,763,521"
Iraq,"2,883,937","5,518","5,827,299"
Greece,"2,861,993","27,083","10,335,453"
Austria,"2,832,024","64,826","19,016,885"
Bangladesh,"2,475,687","18,020","10,207,618"
Denmark,"2,317,128","25,138","41,774,432"
Serbia,"1,964,129","15,727","8,676,815"
Hungary,"1,951,072","29,118","167,512,227"
Pakistan,"1,836,919","45,220","9,618,144"
Jordan,"1,689,314","14,003","10,377,400"
Georgia,"1,666,482","19,209","5,464,192"
Kazakhstan,"1,644,711","16,688","3,975,991"
Ireland,"1,523,072","30,333","228,268,399"
Morocco,"1,413,798","6,693","5,032,676"
Slovakia,"1,390,035","2,339","5,494,177"
Cuba,"1,304,961","13,656","19,163,085"
Bulgaria,"1,162,686","16,055","37,663,197"
Croatia,"1,129,641","36,375","6,858,449"
Nepal,"1,101,224","6,770","7,601,629"
Lebanon,"1,089,696","15,485","4,061,708"
S. Korea,"1,089,419","10,263","6,772,853"
Tunisia,"1,084,568","8,508","11,314,720"
Bolivia,"1,044,661","1,220","5,929,506"
UAE,"1,033,731","28,165","12,031,377"
Norway,"1,006,330","8,788","2,656,944"
Slovenia,"978,297","11,951","30,038,097"
Belarus,"955,600","6,759","9,443,975"
Ecuador,"949,640","6,461","2,079,430"
Lithuania,"900,260","21,483","11,946,927"
Panama,"889,108","2,302","10,095,976"
Costa Rica,"879,618","7,144","3,494,445"
Saudi Arabia,"854,252","35,410","18,103,877"
Guatemala,"834,038","2,951","5,555,531"
Uruguay,"832,966","8,261","5,174,150"
Azerbaijan,"820,477","17,258","18,485,518"
Sri Lanka,"791,604","9,672","10,296,412"
Paraguay,"784,155","5,559","1,850,321"
Kuwait,"762,394","8,159","4,431,596"
Dominican Republic,"750,080","9,034","35,746,440"
Myanmar,"660,151","16,445","21,567,736"
Palestine,"647,538","18,606","7,283,259"
Finland,"627,753","2,553","4,379,209"
Venezuela,"610,176","19,428","55,037,395"
Ethiopia,"580,873","5,345","5,305,310"
Moldova,"577,476","4,375","11,035,066"
Mongolia,"557,330",192,"5,002,100"
Libya,"548,333","2,423","1,328,070"
Egypt,"547,951","1,466","1,803,207"
Latvia,"519,872","5,673","28,297,306"
Bahrain,"511,231","11,401","4,017,831"
Honduras,"501,379","6,392","7,032,023"
Armenia,"500,889","24,361","105,653,747"
Singapore,"469,523","7,491","119,859,304"
Estonia,"467,781","2,177","3,369,094"
Bosnia and Herzegovina,"422,401","8,604","2,972,773"
Oman,"418,492","10,869","10,175,561"
Qatar,"392,019",927,"1,222,481"
Kenya,"387,922","4,250","5,329,899"
Zambia,"374,696","15,695","3,245,707"
North Macedonia,"360,497",677,"2,807,805"
Cyprus,"327,189",702,"906,306"
Albania,"323,319","5,647","55,807,883"
Botswana,"316,190","3,964","19,268,949"
Algeria,"304,047","9,188","2,083,227"
Nigeria,"273,164","3,489","2,872,390"
Zimbabwe,"265,585","6,873","45,212,869"
Uzbekistan,"263,950","2,619","2,433,278"
Réunion,"255,244","3,142","214,923,333"
Mozambique,"245,194","5,432","15,235,096"
Montenegro,"237,533","1,637","34,303,572"
Kyrgyzstan,"232,462","2,696","628,203"
Afghanistan,"225,220","2,200","32,760,632"
Luxembourg,"203,861","1,019","643,494"
Uganda,"200,847","2,982","6,709,331"
Ghana,"177,321","7,657","40,435,772"
Namibia,"177,015",95,"345,054"
Maldives,"174,658",297,"556,918"
Laos,"163,775","3,595","48,223,596"
El Salvador,"161,866",652,"7,457,164"
Rwanda,"161,052","4,114","6,542,518"
Jamaica,"160,870","1,445","32,188,278"
Cambodia,"157,552","4,016","2,620,044"
Cameroon,"141,415",909,"374,764"
Guadeloupe,"139,285","4,638","1,439,323,776"
Trinidad and Tobago,"135,854","3,722","1,407,286"
China,"135,285","3,054","17,116,986"
Angola,"130,705",843,"400,242"
Martinique,"129,693","1,458","13,504,202"
DRC,"129,081",200,"444,686"
Senegal,"128,594","2,872","2,983,406"
Malawi,"119,544","1,927","27,681,884"
Ivory Coast,"99,058","1,900","34,623,341"
French Guiana,"86,585","1,335","94,241,141"
Suriname,"85,842","1,964","17,502,444"
Iceland,"85,574","2,626","19,979,748"
Malta,"81,675",796,"27,501,262"
Eswatini,"79,100","1,324","595,675"
Fiji,"78,326",394,"311,991"
Guyana,"75,892",626,"443,566"
Madagascar,"71,673",646,"283,702"
Sudan,"69,610","1,393","1,180,830"
Mauritania,"65,277",149,"176,620"
Cabo Verde,"64,335",834,"907,622"
Belize,"63,928","1,380","28,914,820"
Syria,"63,208","1,226","793,083"
French Polynesia,"61,862","4,900","45,609,533"
Gabon,"60,132",310,"290,220"
Barbados,"58,665",981,"4,859,757"
Channel Islands,"58,018",329,"287,980"
Seychelles,"57,203",654,"410,042"
Burundi,"55,934",401,"566,376"
Curaçao,"55,610","3,129","18,231,566"
Papua New Guinea,"47,581",303,"2,316,029"
Togo,"41,533",639,"9,238,489"
Andorra,"39,991",163,"99,395"
Mayotte,"39,853",265,"165,248"
Guinea,"39,713",153,"77,478"
Tanzania,"38,406",38,"12,499,465"
Aruba,"36,902",272,"8,612,325"
Bahamas,"36,745",187,"284,132"
Lesotho,"36,459",440,"13,745,136"
Mali,"35,753",934,"1,275,399"
Haiti,"34,237",28,"49,182"
Mauritius,"33,843",212,"107,546"
Benin,"33,797",800,"62,658,757"
New Caledonia,"33,238",787,"399,709"
Somalia,"32,880",697,"2,171,468"
Congo,"30,511",827,"11,641,656"
Isle of Man,"30,463",727,"21,253,404"
Faeroe Islands,"27,022",81,"85,807"
Saint Lucia,"26,952",163,"12,669,073"
Burkina Faso,"26,400","1,348","16,655,404"
Timor-Leste,"24,062",384,"5,751,595"
Taiwan,"23,814",9,"786,225"
Nicaragua,"22,905",365,"185,071"
Tajikistan,"22,813",130,"1,361,630"
New Zealand,"22,327",853,"23,890,950"
South Sudan,"20,751",375,"21,888,557"
Brunei,"19,433",22,"67,050"
Cayman Islands,"18,365",223,"6,760,143"
Equatorial Guinea,"17,388",124,"9,905,983"
Djibouti,"17,153",138,"11,419,496"
Hong Kong,"16,459",101,"33,674"
CAR,"15,902",183,"1,482,195"
Gibraltar,"15,761",83,"38,316"
San Marino,"15,578",189,"1,012,714"
Grenada,"14,968",112,"34,054"
Gambia,"14,649",113,"4,974,192"
Yemen,"13,954",218,"113,420"
Bermuda,"12,231",126,"61,882"
Greenland,"11,973",365,"2,533,370"
Eritrea,"11,952",21,"56,939"
Dominica,"11,803","2,142","30,955,470"
Liechtenstein,"11,777",63,"72,294"
Saint Martin,"10,369",54,"39,721"
Sint Maarten,"10,204",128,"715,843"
Niger,"9,912",63,"39,800"
Monaco,"9,723",103,"3,630,853"
Comoros,"9,665",86,"43,713"
Guinea-Bissau,"8,799",308,"25,712,218"
Sierra Leone,"8,124",169,"2,047,972"
Liberia,"8,081",160,"901,454"
Chad,"8,039",31,"26,642"
Caribbean Netherlands,"7,674",125,"8,255,937"
Antigua and Barbuda,"7,482",135,"99,324"
St. Vincent Grenadines,"7,397",294,"5,262,064"
Sao Tome and Principe,"7,286",190,"17,236,023"
British Virgin Islands,"6,745",106,"111,546"
Turks and Caicos,"6,104",62,"30,577"
Bhutan,"5,943",73,"226,158"
Saint Kitts and Nevis,"5,888",36,"39,618"
St. Barth,"5,548",42,"53,846"
Anguilla,"4,537",2,"107,756"
Solomon Islands,"3,976",6,"18,242"
Palau,"3,780",6,"9,929"
Saint Pierre Miquelon,"3,061",13,"122,601"
Kiribati,"2,633",9,"15,233"
Wallis and Futuna,"1,781",1,"5,745"
Montserrat,"1,704",1,"319,485"
Falkland Islands,"1,060",,"17,592"
Macao,670,,"200,682"
Samoa,454,7,"10,900"
Vatican City,174,2,"4,997"
Western Sahara,119,,"3,654"
Vanuatu,82,,"664,562"
Marshall Islands,29,,804
Tonga,10,1,"622,588"
Saint Helena,7,,"59,877"
Micronesia,5,,"1,645"
